Trace_1_1_15_2,  6.461381420E+04, 17:56:53.814
"Index", "Time[s]"       , "Vmon[V]"       
      0,  0.000000000E+00, -8.115866035E-02
      1,  1.000000000E-04, -8.075286448E-02
      2,  2.000000000E-04, -8.109622449E-02
      3,  3.000000000E-04, -8.062800765E-02
      4,  4.000000000E-04, -8.100258559E-02
      5,  5.000000000E-04, -8.084651083E-02
      6,  6.000000000E-04, -8.103379607E-02
      7,  7.000000000E-04, -8.097136766E-02
      8,  8.000000000E-04, -8.097136766E-02
      9,  9.000000000E-04, -8.109622449E-02
     10,  1.000000000E-03, -8.056557178E-02
     11,  1.100000000E-03, -8.118987083E-02
     12,  1.200000000E-03, -8.103379607E-02
     13,  1.300000000E-03, -8.078408241E-02
     14,  1.400000000E-03, -8.112744242E-02
     15,  1.500000000E-03, -8.109622449E-02
     16,  1.600000000E-03, -8.090893924E-02
     17,  1.700000000E-03, -8.097136766E-02
     18,  1.800000000E-03, -8.090893924E-02
     19,  1.900000000E-03, -8.081529289E-02
     20,  2.000000000E-03, -8.097136766E-02
     21,  2.100000000E-03, -8.078408241E-02
     22,  2.200000000E-03, -8.103379607E-02
     23,  2.300000000E-03, -8.072164655E-02
     24,  2.400000000E-03, -8.103379607E-02
     25,  2.500000000E-03, -8.094014972E-02
     26,  2.600000000E-03, -8.100258559E-02
     27,  2.700000000E-03, -8.125229925E-02
     28,  2.800000000E-03, -8.081529289E-02
     29,  2.900000000E-03, -8.097136766E-02
     30,  3.000000000E-03, -8.090893924E-02
     31,  3.100000000E-03, -8.122108877E-02
     32,  3.200000000E-03, -8.081529289E-02
     33,  3.300000000E-03, -8.106501400E-02
     34,  3.400000000E-03, -8.125229925E-02
     35,  3.500000000E-03, -8.078408241E-02
     36,  3.600000000E-03, -8.112744242E-02
     37,  3.700000000E-03, -8.078408241E-02
     38,  3.800000000E-03, -8.128351718E-02
     39,  3.900000000E-03, -8.062800765E-02
     40,  4.000000000E-03, -8.109622449E-02
     41,  4.100000000E-03, -8.097136766E-02
     42,  4.200000000E-03, -8.094014972E-02
     43,  4.300000000E-03, -8.109622449E-02
     44,  4.400000000E-03, -8.075286448E-02
     45,  4.500000000E-03, -8.122108877E-02
     46,  4.600000000E-03, -8.087772131E-02
     47,  4.700000000E-03, -8.140837401E-02
     48,  4.800000000E-03, -8.065921813E-02
     49,  4.900000000E-03, -8.109622449E-02
     50,  5.000000000E-03, -8.125229925E-02
     51,  5.100000000E-03, -8.075286448E-02
     52,  5.200000000E-03, -8.112744242E-02
     53,  5.300000000E-03, -8.081529289E-02
     54,  5.400000000E-03, -8.112744242E-02
     55,  5.500000000E-03, -8.065921813E-02
     56,  5.600000000E-03, -8.143959194E-02
     57,  5.700000000E-03, -8.090893924E-02
     58,  5.800000000E-03, -8.059678972E-02
     59,  5.900000000E-03, -8.115866035E-02
     60,  6.000000000E-03, -8.084651083E-02
     61,  6.100000000E-03, -8.097136766E-02
     62,  6.200000000E-03, -8.090893924E-02
     63,  6.300000000E-03, -8.115866035E-02
     64,  6.400000000E-03, -8.081529289E-02
     65,  6.500000000E-03, -8.090893924E-02
     66,  6.600000000E-03, -8.115866035E-02
     67,  6.700000000E-03, -8.078408241E-02
     68,  6.800000000E-03, -8.109622449E-02
     69,  6.900000000E-03, -8.106501400E-02
     70,  7.000000000E-03, -8.100258559E-02
     71,  7.100000000E-03, -8.100258559E-02
     72,  7.200000000E-03, -8.109622449E-02
     73,  7.300000000E-03, -8.100258559E-02
     74,  7.400000000E-03, -8.100258559E-02
     75,  7.500000000E-03, -8.087772131E-02
     76,  7.600000000E-03, -8.109622449E-02
     77,  7.700000000E-03, -8.115866035E-02
     78,  7.800000000E-03, -8.103379607E-02
     79,  7.900000000E-03, -8.097136766E-02
     80,  8.000000000E-03, -8.090893924E-02
     81,  8.100000000E-03, -8.106501400E-02
     82,  8.200000000E-03, -8.081529289E-02
     83,  8.300000000E-03, -8.094014972E-02
     84,  8.400000000E-03, -8.112744242E-02
     85,  8.500000000E-03, -8.081529289E-02
     86,  8.600000000E-03, -8.118987083E-02
     87,  8.700000000E-03, -8.090893924E-02
     88,  8.800000000E-03, -8.094014972E-02
     89,  8.900000000E-03, -8.097136766E-02
     90,  9.000000000E-03, -8.125229925E-02
     91,  9.100000000E-03, -8.069043607E-02
     92,  9.200000000E-03, -8.103379607E-02
     93,  9.300000000E-03, -8.109622449E-02
     94,  9.400000000E-03, -8.069043607E-02
     95,  9.500000000E-03, -8.106501400E-02
     96,  9.600000000E-03, -8.115866035E-02
     97,  9.700000000E-03, -8.100258559E-02
     98,  9.800000000E-03, -8.081529289E-02
     99,  9.900000000E-03, -8.128351718E-02
    100,  1.000000000E-02, -8.094014972E-02
    101,  1.010000000E-02, -8.081529289E-02
    102,  1.020000000E-02, -8.100258559E-02
    103,  1.030000000E-02, -8.097136766E-02
    104,  1.040000000E-02, -8.103379607E-02
    105,  1.050000000E-02, -8.094014972E-02
    106,  1.060000000E-02, -8.128351718E-02
    107,  1.070000000E-02, -8.081529289E-02
    108,  1.080000000E-02, -8.118987083E-02
    109,  1.090000000E-02, -8.103379607E-02
    110,  1.100000000E-02, -8.087772131E-02
    111,  1.110000000E-02, -8.109622449E-02
    112,  1.120000000E-02, -8.087772131E-02
    113,  1.130000000E-02, -8.122108877E-02
    114,  1.140000000E-02, -8.078408241E-02
    115,  1.150000000E-02, -8.122108877E-02
    116,  1.160000000E-02, -8.115866035E-02
    117,  1.170000000E-02, -8.094014972E-02
    118,  1.180000000E-02, -8.115866035E-02
    119,  1.190000000E-02, -8.078408241E-02
    120,  1.200000000E-02, -8.125229925E-02
    121,  1.210000000E-02, -8.084651083E-02
    122,  1.220000000E-02, -8.125229925E-02
    123,  1.230000000E-02, -8.081529289E-02
    124,  1.240000000E-02, -8.112744242E-02
    125,  1.250000000E-02, -8.112744242E-02
    126,  1.260000000E-02, -8.081529289E-02
    127,  1.270000000E-02, -8.118987083E-02
    128,  1.280000000E-02, -8.094014972E-02
    129,  1.290000000E-02, -8.131473511E-02
    130,  1.300000000E-02, -8.087772131E-02
    131,  1.310000000E-02, -8.137716353E-02
    132,  1.320000000E-02, -8.094014972E-02
    133,  1.330000000E-02, -8.090893924E-02
    134,  1.340000000E-02, -8.128351718E-02
    135,  1.350000000E-02, -8.094014972E-02
    136,  1.360000000E-02, -8.109622449E-02
    137,  1.370000000E-02, -8.103379607E-02
    138,  1.380000000E-02, -8.143959194E-02
