Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-45.16601563,-44.86083984,-41.80908203,-45.47119141,-46.38671875
0.100000001,-45.16601563,-45.16601563,-42.41943359,-44.25048828,-46.08154297
0.200000003,-43.33496094,-46.69189453,-41.19873047,-43.9453125,-45.47119141
0.300000012,-44.55566406,-46.08154297,-42.11425781,-43.02978516,-45.16601563
0.400000006,-45.47119141,-44.86083984,-40.58837891,-43.64013672,-45.16601563
0.5,-44.25048828,-46.38671875,-41.80908203,-43.64013672,-45.47119141
0.600000024,-44.55566406,-45.77636719,-43.64013672,-43.64013672,-44.55566406
0.699999988,-44.55566406,-47.30224609,-43.64013672,-43.9453125,-46.69189453
0.800000012,-44.86083984,-45.47119141,-42.72460938,-43.64013672,-45.77636719
0.899999976,-43.9453125,-45.47119141,-41.19873047,-44.25048828,-44.55566406
1,-44.25048828,-45.47119141,-40.89355469,-43.02978516,-45.16601563
1.100000024,-46.99707031,-46.08154297,-41.50390625,-43.33496094,-44.25048828
1.200000048,-44.25048828,-47.30224609,-42.41943359,-43.64013672,-44.55566406
1.299999952,-44.86083984,-44.86083984,-43.64013672,-43.64013672,-45.47119141
1.399999976,-45.16601563,-45.77636719,-42.41943359,-45.16601563,-44.25048828
1.5,-44.55566406,-46.08154297,-42.41943359,-45.16601563,-45.77636719
1.600000024,-43.64013672,-44.55566406,-41.50390625,-44.86083984,-45.16601563
1.700000048,-45.77636719,-44.86083984,-43.02978516,-43.64013672,-45.16601563
1.799999952,-45.16601563,-45.16601563,-41.80908203,-43.9453125,-44.25048828
1.899999976,-43.33496094,-46.99707031,-41.50390625,-43.33496094,-45.16601563
2,-45.77636719,-43.9453125,-42.11425781,-43.33496094,-46.08154297
2.099999905,-43.64013672,-45.47119141,-41.80908203,-44.86083984,-44.25048828
2.200000048,-43.9453125,-46.08154297,-43.33496094,-45.16601563,-44.86083984
2.299999952,-44.86083984,-44.55566406,-41.80908203,-43.9453125,-45.47119141
2.400000095,-43.33496094,-44.55566406,-40.58837891,-42.11425781,-45.47119141
2.5,-46.38671875,-45.16601563,-42.41943359,-43.33496094,-45.16601563
2.599999905,-43.9453125,-46.08154297,-41.50390625,-44.25048828,-46.08154297
2.700000048,-44.86083984,-44.55566406,-42.41943359,-45.16601563,-46.69189453
2.799999952,-43.9453125,-45.47119141,-40.89355469,-44.86083984,-43.64013672
2.900000095,-43.64013672,-43.64013672,-43.02978516,-43.64013672,-44.86083984
3,-44.86083984,-45.47119141,-40.58837891,-42.72460938,-44.55566406
3.099999905,-44.25048828,-45.16601563,-41.19873047,-44.25048828,-45.47119141
3.200000048,-46.08154297,-43.02978516,-41.80908203,-44.86083984,-45.47119141
3.299999952,-43.9453125,-46.38671875,-41.80908203,-44.25048828,-45.16601563
3.400000095,-45.16601563,-43.64013672,-41.80908203,-43.33496094,-46.38671875
3.5,-43.02978516,-45.16601563,-42.41943359,-44.25048828,-44.55566406
3.599999905,-44.25048828,-45.47119141,-42.11425781,-43.9453125,-44.55566406
3.700000048,-43.64013672,-43.02978516,-40.58837891,-43.33496094,-45.16601563
3.799999952,-43.64013672,-45.47119141,-42.11425781,-43.9453125,-45.77636719
3.900000095,-45.47119141,-43.64013672,-42.11425781,-44.86083984,-45.47119141
4,-43.33496094,-46.69189453,-40.58837891,-43.9453125,-43.9453125
4.099999905,-44.86083984,-43.9453125,-42.41943359,-42.41943359,-44.86083984
4.199999809,-44.55566406,-45.47119141,-41.19873047,-44.25048828,-44.86083984
4.300000191,-43.9453125,-45.47119141,-41.19873047,-43.9453125,-45.47119141
4.400000095,-43.64013672,-44.25048828,-41.19873047,-41.80908203,-44.55566406
4.5,-44.25048828,-45.16601563,-40.58837891,-43.64013672,-44.25048828
4.599999905,-45.47119141,-43.02978516,-42.41943359,-43.9453125,-44.25048828
4.699999809,-43.33496094,-46.38671875,-41.19873047,-43.02978516,-45.77636719
4.800000191,-44.86083984,-43.02978516,-41.19873047,-44.55566406,-46.08154297
4.900000095,-43.9453125,-45.16601563,-42.11425781,-44.55566406,-44.25048828
5,-43.33496094,-43.02978516,-39.97802734,-42.41943359,-45.47119141
5.099999905,-44.55566406,-44.55566406,-42.41943359,-44.55566406,-45.16601563
5.199999809,-43.9453125,-43.64013672,-39.97802734,-43.33496094,-44.55566406
5.300000191,-43.64013672,-44.55566406,-41.80908203,-42.41943359,-43.33496094
5.400000095,-43.02978516,-44.25048828,-40.58837891,-44.86083984,-45.16601563
5.5,-43.9453125,-43.64013672,-41.50390625,-42.72460938,-46.38671875
5.599999905,-44.86083984,-44.25048828,-41.50390625,-43.33496094,-43.64013672
5.699999809,-44.55566406,-44.55566406,-39.97802734,-43.64013672,-46.08154297
5.800000191,-44.25048828,-43.33496094,-41.19873047,-42.11425781,-45.77636719
5.900000095,-45.16601563,-44.86083984,-40.28320313,-43.02978516,-43.9453125
6,-45.16601563,-43.64013672,-43.02978516,-43.64013672,-44.25048828
6.099999905,-44.86083984,-43.64013672,-39.97802734,-43.64013672,-44.86083984
6.199999809,-44.86083984,-43.9453125,-41.50390625,-42.41943359,-45.16601563
6.300000191,-44.55566406,-45.16601563,-40.89355469,-43.02978516,-44.86083984
6.400000095,-44.55566406,-43.64013672,-40.89355469,-43.33496094,-45.47119141
6.5,-44.25048828,-44.25048828,-39.67285156,-42.11425781,-43.33496094
6.599999905,-44.25048828,-43.64013672,-40.28320313,-42.72460938,-45.16601563
6.699999809,-43.64013672,-43.33496094,-40.28320313,-41.80908203,-43.9453125
6.800000191,-43.33496094,-43.33496094,-40.89355469,-45.16601563,-43.9453125
6.900000095,-43.33496094,-42.72460938,-39.97802734,-42.41943359,-46.38671875
7,-44.55566406,-43.64013672,-40.89355469,-44.25048828,-44.25048828
7.099999905,-45.16601563,-42.41943359,-40.89355469,-42.41943359,-45.77636719
7.199999809,-43.9453125,-43.33496094,-39.36767578,-44.55566406,-44.55566406
7.300000191,-43.64013672,-44.25048828,-38.75732422,-41.80908203,-43.9453125
7.400000095,-43.33496094,-43.02978516,-41.19873047,-43.64013672,-44.86083984
7.5,-43.64013672,-43.9453125,-39.67285156,-42.41943359,-43.64013672
7.599999905,-44.86083984,-43.64013672,-40.58837891,-43.64013672,-45.77636719
7.699999809,-44.55566406,-44.25048828,-40.58837891,-42.72460938,-43.64013672
7.800000191,-43.02978516,-43.9453125,-40.89355469,-42.72460938,-45.16601563
7.900000095,-43.9453125,-43.64013672,-41.19873047,-42.41943359,-43.9453125
8,-44.25048828,-44.55566406,-40.58837891,-40.89355469,-44.25048828
8.100000381,-45.16601563,-41.80908203,-42.41943359,-43.64013672,-44.86083984
8.199999809,-44.55566406,-43.64013672,-41.19873047,-43.33496094,-43.02978516
