Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-45.166015625,-50.048828125,-43.9453125,-45.166015625,-48.2177734375
0.1000000015,-44.2504882813,-49.1333007813,-44.5556640625,-44.8608398438,-47.9125976563
0.200000003,-43.0297851563,-49.1333007813,-43.3349609375,-44.8608398438,-47.607421875
0.3000000119,-43.6401367188,-48.828125,-43.9453125,-43.9453125,-48.5229492188
0.400000006,-44.5556640625,-48.828125,-43.9453125,-45.166015625,-47.607421875
0.5,-44.5556640625,-48.828125,-43.6401367188,-46.0815429688,-46.9970703125
0.6000000238,-44.5556640625,-49.1333007813,-45.166015625,-45.4711914063,-48.2177734375
0.6999999881,-44.5556640625,-49.4384765625,-44.5556640625,-45.4711914063,-47.3022460938
0.8000000119,-45.4711914063,-49.7436523438,-44.2504882813,-45.4711914063,-46.9970703125
0.8999999762,-43.6401367188,-49.1333007813,-43.6401367188,-46.0815429688,-47.607421875
1,-43.9453125,-48.828125,-43.9453125,-44.5556640625,-48.5229492188
1.1000000238,-44.5556640625,-48.2177734375,-43.0297851563,-44.8608398438,-47.9125976563
1.2000000477,-43.9453125,-49.4384765625,-43.9453125,-45.7763671875,-46.6918945313
1.2999999523,-43.9453125,-49.7436523438,-45.4711914063,-45.4711914063,-47.3022460938
1.3999999762,-45.166015625,-49.1333007813,-43.9453125,-45.166015625,-46.9970703125
1.5,-44.8608398438,-48.2177734375,-43.6401367188,-43.9453125,-47.3022460938
1.6000000238,-43.3349609375,-48.828125,-42.724609375,-44.5556640625,-46.38671875
1.7000000477,-44.5556640625,-49.4384765625,-44.8608398438,-43.6401367188,-47.3022460938
1.7999999523,-43.9453125,-49.4384765625,-44.8608398438,-44.5556640625,-46.9970703125
1.8999999762,-44.2504882813,-49.1333007813,-44.2504882813,-46.38671875,-46.38671875
2,-45.4711914063,-48.5229492188,-43.6401367188,-45.7763671875,-47.607421875
2.0999999046,-43.9453125,-50.3540039063,-43.3349609375,-45.166015625,-46.6918945313
2.2000000477,-44.5556640625,-49.7436523438,-44.8608398438,-44.8608398438,-47.607421875
2.2999999523,-44.8608398438,-48.5229492188,-43.6401367188,-44.8608398438,-47.3022460938
2.4000000954,-44.2504882813,-47.9125976563,-43.9453125,-44.2504882813,-47.607421875
2.5,-43.6401367188,-49.4384765625,-43.0297851563,-45.4711914063,-49.1333007813
2.5999999046,-44.8608398438,-49.7436523438,-44.2504882813,-46.0815429688,-47.3022460938
2.7000000477,-44.2504882813,-48.2177734375,-44.8608398438,-44.8608398438,-46.9970703125
2.7999999523,-45.166015625,-49.1333007813,-43.0297851563,-44.5556640625,-45.7763671875
2.9000000954,-44.5556640625,-48.828125,-43.0297851563,-44.2504882813,-47.607421875
3,-44.2504882813,-48.5229492188,-44.2504882813,-43.6401367188,-46.9970703125
3.0999999046,-44.2504882813,-47.9125976563,-43.3349609375,-45.4711914063,-47.9125976563
3.2000000477,-43.0297851563,-49.4384765625,-43.9453125,-45.4711914063,-48.2177734375
3.2999999523,-44.5556640625,-49.4384765625,-44.2504882813,-45.166015625,-46.9970703125
3.4000000954,-44.8608398438,-47.607421875,-43.3349609375,-44.5556640625,-47.607421875
3.5,-44.5556640625,-49.1333007813,-43.6401367188,-45.166015625,-46.6918945313
3.5999999046,-43.6401367188,-48.828125,-44.2504882813,-46.38671875,-46.9970703125
3.7000000477,-44.5556640625,-48.2177734375,-43.0297851563,-44.8608398438,-46.9970703125
3.7999999523,-44.5556640625,-49.1333007813,-44.2504882813,-43.9453125,-47.9125976563
3.9000000954,-43.6401367188,-47.9125976563,-43.6401367188,-44.5556640625,-47.3022460938
4,-44.5556640625,-48.828125,-43.9453125,-45.7763671875,-46.9970703125
4.0999999046,-44.2504882813,-49.4384765625,-43.6401367188,-44.8608398438,-48.5229492188
4.1999998093,-44.2504882813,-47.9125976563,-44.2504882813,-44.5556640625,-47.3022460938
4.3000001907,-44.2504882813,-48.828125,-43.0297851563,-45.166015625,-47.3022460938
4.4000000954,-43.9453125,-48.5229492188,-43.9453125,-45.166015625,-46.38671875
4.5,-44.5556640625,-46.9970703125,-43.3349609375,-45.166015625,-46.38671875
4.5999999046,-43.0297851563,-48.828125,-44.5556640625,-44.8608398438,-47.9125976563
4.6999998093,-43.9453125,-48.2177734375,-43.6401367188,-46.0815429688,-47.3022460938
4.8000001907,-43.6401367188,-49.1333007813,-43.6401367188,-44.5556640625,-47.607421875
4.9000000954,-43.9453125,-48.828125,-44.5556640625,-43.6401367188,-46.38671875
5,-44.8608398438,-47.607421875,-43.3349609375,-45.4711914063,-47.607421875
5.0999999046,-44.8608398438,-48.828125,-43.6401367188,-45.4711914063,-46.9970703125
5.1999998093,-43.6401367188,-46.6918945313,-43.0297851563,-45.166015625,-46.6918945313
5.3000001907,-42.4194335938,-49.1333007813,-44.2504882813,-44.8608398438,-47.607421875
5.4000000954,-43.6401367188,-48.5229492188,-43.6401367188,-45.4711914063,-47.9125976563
5.5,-44.5556640625,-48.828125,-45.166015625,-44.5556640625,-47.3022460938
5.5999999046,-43.6401367188,-47.9125976563,-42.1142578125,-45.7763671875,-46.0815429688
5.6999998093,-44.2504882813,-47.3022460938,-43.6401367188,-44.5556640625,-46.9970703125
5.8000001907,-44.2504882813,-48.5229492188,-42.1142578125,-44.8608398438,-47.3022460938
5.9000000954,-44.5556640625,-47.607421875,-43.6401367188,-46.0815429688,-46.0815429688
6,-43.3349609375,-48.2177734375,-43.6401367188,-45.166015625,-47.607421875
6.0999999046,-43.6401367188,-47.607421875,-43.9453125,-45.4711914063,-46.9970703125
6.1999998093,-43.9453125,-48.5229492188,-43.9453125,-45.166015625,-47.3022460938
6.3000001907,-43.9453125,-47.9125976563,-43.3349609375,-44.5556640625,-47.607421875
6.4000000954,-44.2504882813,-47.9125976563,-43.6401367188,-45.166015625,-46.38671875
6.5,-43.3349609375,-46.9970703125,-42.4194335938,-44.5556640625,-46.6918945313
6.5999999046,-44.8608398438,-46.9970703125,-42.724609375,-46.6918945313,-46.9970703125
6.6999998093,-44.2504882813,-47.607421875,-43.9453125,-44.8608398438,-47.3022460938
6.8000001907,-44.5556640625,-48.2177734375,-42.1142578125,-45.7763671875,-47.607421875
6.9000000954,-44.2504882813,-48.828125,-42.4194335938,-45.166015625,-46.9970703125
7,-43.9453125,-48.5229492188,-42.4194335938,-43.9453125,-46.0815429688
7.0999999046,-42.724609375,-48.2177734375,-43.0297851563,-44.5556640625,-47.9125976563
7.1999998093,-42.724609375,-48.828125,-42.724609375,-44.2504882813,-47.607421875
7.3000001907,-43.9453125,-49.1333007813,-44.2504882813,-46.6918945313,-47.3022460938
7.4000000954,-45.166015625,-48.2177734375,-44.2504882813,-43.9453125,-47.3022460938
7.5,-44.8608398438,-48.5229492188,-42.724609375,-45.166015625,-46.38671875
7.5999999046,-44.2504882813,-48.2177734375,-43.3349609375,-43.9453125,-47.607421875
7.6999998093,-43.6401367188,-48.5229492188,-42.4194335938,-44.5556640625,-45.7763671875
7.8000001907,-43.6401367188,-47.607421875,-42.724609375,-44.5556640625,-46.9970703125
7.9000000954,-44.5556640625,-48.2177734375,-42.4194335938,-44.5556640625,-46.0815429688
8,-44.2504882813,-47.607421875,-42.4194335938,-44.2504882813,-47.607421875
