Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
0.000,-83.383,-83.157,-83.258,-83.224,-83.304,-83.292,-83.365,-83.432,-83.347,-83.401,-83.426,-83.398,-83.292,-83.136,-83.282,-83.325,-83.069,-82.721
0.100,-83.090,-83.154,-83.243,-83.264,-83.258,-83.356,-83.484,-83.307,-83.356,-83.298,-83.426,-83.319,-83.380,-83.087,-83.237,-83.292,-83.115,-82.660
0.200,-83.203,-83.218,-83.322,-83.255,-83.380,-83.450,-83.359,-83.420,-83.359,-83.408,-83.301,-83.377,-83.276,-83.188,-83.325,-83.203,-83.063,-82.654
0.300,-83.130,-83.124,-83.224,-83.203,-83.359,-83.337,-83.334,-83.463,-83.414,-83.527,-83.365,-83.328,-83.337,-83.093,-83.255,-83.289,-83.124,-82.706
0.400,-83.084,-83.154,-83.234,-83.316,-83.298,-83.270,-83.417,-83.365,-83.331,-83.350,-83.466,-83.298,-83.353,-83.078,-83.234,-83.273,-83.075,-82.727
0.500,-83.194,-83.182,-83.347,-83.356,-83.301,-83.423,-83.481,-83.301,-83.395,-83.313,-83.347,-83.334,-83.313,-83.167,-83.325,-83.228,-83.051,-82.617
0.599,-83.115,-83.151,-83.267,-83.157,-83.337,-83.359,-83.310,-83.429,-83.417,-83.432,-83.405,-83.374,-83.331,-83.112,-83.298,-83.258,-83.160,-82.675
0.699,-83.078,-83.167,-83.209,-83.231,-83.249,-83.282,-83.301,-83.469,-83.313,-83.359,-83.316,-83.249,-83.340,-83.115,-83.286,-83.279,-83.060,-82.733
0.799,-83.200,-83.279,-83.319,-83.310,-83.319,-83.350,-83.447,-83.325,-83.267,-83.420,-83.380,-83.362,-83.340,-83.185,-83.316,-83.170,-83.035,-82.642
0.899,-83.215,-83.163,-83.331,-83.255,-83.340,-83.350,-83.463,-83.249,-83.444,-83.289,-83.270,-83.307,-83.380,-83.151,-83.344,-83.258,-83.096,-82.669
0.999,-83.078,-83.130,-83.246,-83.185,-83.264,-83.362,-83.264,-83.374,-83.362,-83.386,-83.411,-83.350,-83.325,-83.115,-83.231,-83.267,-83.047,-82.709
1.099,-83.142,-83.185,-83.252,-83.282,-83.310,-83.249,-83.377,-83.328,-83.353,-83.356,-83.316,-83.353,-83.292,-83.124,-83.279,-83.215,-83.051,-82.578
1.199,-83.231,-83.298,-83.289,-83.389,-83.310,-83.304,-83.414,-83.392,-83.289,-83.383,-83.289,-83.313,-83.383,-83.133,-83.286,-83.261,-83.090,-82.626
1.299,-83.145,-83.109,-83.322,-83.276,-83.292,-83.408,-83.319,-83.374,-83.362,-83.316,-83.432,-83.331,-83.368,-83.078,-83.212,-83.316,-82.980,-82.596
1.399,-83.038,-83.099,-83.322,-83.130,-83.255,-83.325,-83.414,-83.362,-83.319,-83.380,-83.401,-83.359,-83.234,-83.160,-83.282,-83.209,-83.109,-82.782
1.499,-83.182,-83.215,-83.194,-83.337,-83.347,-83.417,-83.240,-83.307,-83.392,-83.371,-83.337,-83.322,-83.344,-83.130,-83.276,-83.304,-83.096,-82.562
1.598,-83.234,-83.282,-83.295,-83.298,-83.282,-83.252,-83.395,-83.438,-83.353,-83.319,-83.408,-83.240,-83.371,-83.044,-83.182,-83.270,-83.051,-82.645
1.698,-83.258,-83.063,-83.243,-83.258,-83.264,-83.334,-83.289,-83.344,-83.319,-83.423,-83.383,-83.344,-83.218,-83.200,-83.298,-83.344,-83.008,-82.697
1.798,-83.044,-83.121,-83.289,-83.270,-83.310,-83.282,-83.377,-83.386,-83.408,-83.377,-83.350,-83.386,-83.304,-83.054,-83.234,-83.105,-83.047,-82.748
1.898,-83.234,-83.273,-83.295,-83.191,-83.304,-83.344,-83.368,-83.389,-83.301,-83.362,-83.353,-83.298,-83.340,-83.096,-83.313,-83.234,-83.118,-82.706
1.998,-83.167,-83.127,-83.270,-83.282,-83.304,-83.316,-83.356,-83.322,-83.292,-83.350,-83.362,-83.325,-83.249,-83.148,-83.206,-83.206,-83.121,-82.617
2.098,-83.115,-83.188,-83.282,-83.234,-83.340,-83.304,-83.423,-83.365,-83.310,-83.405,-83.334,-83.295,-83.344,-83.124,-83.267,-83.255,-83.035,-82.660
2.198,-83.179,-83.105,-83.249,-83.264,-83.221,-83.389,-83.401,-83.411,-83.362,-83.350,-83.328,-83.286,-83.344,-83.057,-83.240,-83.267,-83.060,-82.712
2.298,-83.044,-83.234,-83.258,-83.319,-83.292,-83.301,-83.319,-83.325,-83.304,-83.362,-83.356,-83.377,-83.447,-83.044,-83.322,-83.191,-83.102,-82.690
2.398,-83.160,-83.136,-83.347,-83.218,-83.307,-83.295,-83.325,-83.362,-83.307,-83.411,-83.286,-83.258,-83.221,-83.203,-83.243,-83.176,-83.105,-82.663
2.498,-83.099,-83.179,-83.197,-83.234,-83.246,-83.337,-83.383,-83.414,-83.359,-83.380,-83.356,-83.395,-83.331,-83.151,-83.212,-83.215,-83.054,-82.611
2.597,-83.130,-83.136,-83.276,-83.292,-83.298,-83.337,-83.337,-83.368,-83.347,-83.374,-83.264,-83.273,-83.258,-83.148,-83.224,-83.224,-83.020,-82.678
2.697,-83.145,-83.118,-83.292,-83.200,-83.350,-83.301,-83.331,-83.359,-83.289,-83.444,-83.282,-83.258,-83.408,-83.038,-83.282,-83.276,-83.020,-82.687
2.797,-83.072,-83.215,-83.179,-83.197,-83.304,-83.334,-83.359,-83.435,-83.383,-83.279,-83.408,-83.270,-83.356,-83.151,-83.240,-83.112,-83.099,-82.712
2.897,-83.109,-83.176,-83.221,-83.304,-83.273,-83.405,-83.304,-83.371,-83.337,-83.377,-83.197,-83.347,-83.270,-83.109,-83.301,-83.231,-83.047,-82.608
2.997,-83.167,-83.176,-83.273,-83.313,-83.340,-83.255,-83.325,-83.340,-83.295,-83.398,-83.295,-83.362,-83.243,-83.188,-83.231,-83.200,-83.109,-82.709
3.097,-83.087,-83.209,-83.243,-83.206,-83.307,-83.307,-83.383,-83.405,-83.331,-83.463,-83.224,-83.282,-83.371,-83.087,-83.325,-83.310,-82.968,-82.651
