Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
0.000,-83.917,-83.588,-83.481,-83.456,-83.185,-83.481,-83.545,-83.582,-83.026,-83.450,-83.435,-83.841,-83.810,-83.588,-83.234,-83.209,-83.090,-83.215
0.100,-83.591,-83.588,-83.530,-83.386,-83.279,-83.469,-83.655,-83.578,-82.956,-83.414,-83.368,-83.762,-83.752,-83.554,-83.118,-83.102,-83.179,-83.081
0.200,-83.731,-83.685,-83.652,-83.463,-83.365,-83.539,-83.514,-83.612,-82.919,-83.368,-83.453,-83.807,-83.783,-83.545,-83.209,-83.221,-83.099,-83.200
0.300,-83.688,-83.679,-83.536,-83.469,-83.197,-83.533,-83.575,-83.618,-83.014,-83.334,-83.243,-83.722,-83.841,-83.682,-83.249,-83.121,-83.197,-83.167
0.400,-83.612,-83.701,-83.591,-83.575,-83.215,-83.481,-83.618,-83.588,-83.035,-83.331,-83.383,-83.902,-83.752,-83.548,-83.096,-83.221,-83.185,-83.041
0.500,-83.713,-83.777,-83.505,-83.447,-83.200,-83.508,-83.578,-83.664,-83.090,-83.429,-83.313,-83.749,-83.838,-83.649,-83.224,-83.170,-83.118,-83.121
0.599,-83.603,-83.566,-83.658,-83.447,-83.334,-83.612,-83.508,-83.563,-83.047,-83.365,-83.340,-83.759,-83.774,-83.545,-83.112,-83.118,-83.267,-83.038
0.699,-83.612,-83.636,-83.539,-83.401,-83.334,-83.557,-83.466,-83.664,-82.968,-83.450,-83.447,-83.826,-83.780,-83.609,-83.182,-83.243,-83.206,-83.069
0.799,-83.743,-83.548,-83.609,-83.554,-83.310,-83.603,-83.566,-83.530,-83.105,-83.389,-83.310,-83.810,-83.835,-83.646,-83.142,-83.109,-83.228,-83.215
0.899,-83.508,-83.749,-83.456,-83.514,-83.264,-83.475,-83.469,-83.646,-82.968,-83.371,-83.459,-83.926,-83.673,-83.536,-83.023,-83.109,-83.292,-83.102
0.999,-83.670,-83.673,-83.499,-83.612,-83.362,-83.551,-83.594,-83.560,-82.990,-83.429,-83.365,-83.762,-83.801,-83.624,-83.212,-83.228,-83.212,-83.133
1.099,-83.527,-83.722,-83.569,-83.417,-83.289,-83.405,-83.496,-83.630,-82.962,-83.328,-83.432,-83.801,-83.740,-83.572,-83.188,-83.099,-83.224,-83.243
1.199,-83.704,-83.630,-83.673,-83.575,-83.224,-83.524,-83.670,-83.539,-82.895,-83.475,-83.383,-83.914,-83.725,-83.499,-83.081,-83.188,-83.243,-83.133
1.299,-83.734,-83.722,-83.508,-83.487,-83.328,-83.481,-83.524,-83.463,-83.023,-83.420,-83.237,-83.804,-83.929,-83.627,-83.298,-83.163,-83.121,-83.099
1.399,-83.679,-83.734,-83.591,-83.560,-83.255,-83.481,-83.603,-83.636,-82.990,-83.456,-83.487,-83.844,-83.829,-83.533,-83.170,-83.093,-83.188,-83.157
1.499,-83.536,-83.740,-83.517,-83.469,-83.380,-83.545,-83.588,-83.521,-83.054,-83.548,-83.411,-83.786,-83.804,-83.499,-83.139,-83.188,-83.200,-83.157
1.598,-83.627,-83.698,-83.600,-83.530,-83.231,-83.450,-83.612,-83.649,-82.993,-83.499,-83.310,-83.737,-83.853,-83.603,-83.267,-83.206,-83.105,-83.121
1.698,-83.737,-83.731,-83.511,-83.499,-83.359,-83.609,-83.667,-83.670,-82.956,-83.463,-83.389,-83.844,-83.704,-83.554,-83.163,-83.084,-83.228,-83.261
