x,25pA,-25pA,-50pA,-75pA,-100pA,-125pA,-150pA,-175pA,-200pA
-0.429927,0.0913043,0.103081,0.0938462,0.102609,0.13587,0.103043,0.101652,0.101573,0.102667
-0.428467,0.0921739,0.103043,0.0934448,0.102609,0.132826,0.103009,0.101696,0.101656,0.102609
-0.427737,0.0926087,0.103025,0.0932441,0.102609,0.131304,0.102991,0.101717,0.101698,0.10258
-0.427007,0.0930435,0.103006,0.0930435,0.102609,0.129783,0.102974,0.101739,0.101739,0.102551
-0.417518,0.0986957,0.10276,0.0904348,0.102609,0.11,0.102748,0.102022,0.102277,0.102174
-0.413869,0.10087,0.102665,0.0894314,0.102609,0.102391,0.102661,0.10213,0.102484,0.0986957
-0.412409,0.101739,0.102628,0.0890301,0.102609,0.0993478,0.102626,0.102174,0.102567,0.0909662
-0.411679,0.102174,0.102609,0.0888294,0.102609,0.0978261,0.102609,0.0985217,0.102609,0.0871014
-0.410949,0.102609,0.102174,0.0886288,0.102609,0.0963043,0.100186,0.0948696,0.0934783,0.0832367
-0.410219,0.103043,0.101739,0.0884281,0.102609,0.0947826,0.097764,0.0912174,0.0909783,0.079372
-0.408759,0.103913,0.10087,0.0880268,0.0991304,0.0917391,0.0929193,0.083913,0.0859783,0.0716425
-0.408029,0.104348,0.100435,0.0878261,0.0973913,0.0902174,0.0904969,0.0807246,0.0834783,0.0677778
-0.407299,0.104783,0.1,0.0876254,0.0956522,0.0886957,0.0880745,0.0775362,0.0793478,0.063913
-0.406569,0.105217,0.0995652,0.0874247,0.093913,0.0871739,0.0856522,0.0743478,0.0752174,0.0623913
-0.40438,0.106522,0.0982609,0.0868227,0.0886957,0.0826087,0.081413,0.0678261,0.0647826,0.0578261
-0.40292,0.107391,0.0973913,0.0864214,0.0875362,0.0795652,0.078587,0.0653416,0.0578261,0.0547826
-0.40073,0.108696,0.096087,0.0858194,0.0857971,0.0763975,0.0743478,0.0616149,0.0530435,0.0502174
